JOBID;STEPID;APPID;USERID;GROUPID;ACCOUNTID;JOBNAME;ENERGY_TAG;JOB_START_TIME;JOB_END_TIME;JOB_START_DATE;JOB_END_DATE;JOB_EARL_START_TIME;JOB_EARL_END_TIME;POLICY;POLICY_TH;JOB_NPROCS;JOB_TYPE;JOB_DEF_FREQ;EARL_ENABLED;EAR_LEARNING_PHASE;NODENAME;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU_GFLOPS;CPU_UTIL;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DPOPS_256;DPOPS_512;TEMP0;TEMP1;TEMP2;TEMP3;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU0_GFLOPS;GPU0_TEMP;GPU0_MEMTEMP;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU1_GFLOPS;GPU1_TEMP;GPU1_MEMTEMP;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU2_GFLOPS;GPU2_TEMP;GPU2_MEMTEMP;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC;GPU3_GFLOPS;GPU3_TEMP;GPU3_MEMTEMP;GPU4_POWER_W;GPU4_FREQ_KHZ;GPU4_MEM_FREQ_KHZ;GPU4_UTIL_PERC;GPU4_MEM_UTIL_PERC;GPU4_GFLOPS;GPU4_TEMP;GPU4_MEMTEMP;GPU5_POWER_W;GPU5_FREQ_KHZ;GPU5_MEM_FREQ_KHZ;GPU5_UTIL_PERC;GPU5_MEM_UTIL_PERC;GPU5_GFLOPS;GPU5_TEMP;GPU5_MEMTEMP;GPU6_POWER_W;GPU6_FREQ_KHZ;GPU6_MEM_FREQ_KHZ;GPU6_UTIL_PERC;GPU6_MEM_UTIL_PERC;GPU6_GFLOPS;GPU6_TEMP;GPU6_MEMTEMP;GPU7_POWER_W;GPU7_FREQ_KHZ;GPU7_MEM_FREQ_KHZ;GPU7_UTIL_PERC;GPU7_MEM_UTIL_PERC;GPU7_GFLOPS;GPU7_TEMP;GPU7_MEMTEMP;NODEMGR_DC_NODE_POWER_W;NODEMGR_DRAM_POWER_W;NODEMGR_PCK_POWER_W;NODEMGR_MAX_DC_POWER_W;NODEMGR_MIN_DC_POWER_W;NODEMGR_TIME_SEC;NODEMGR_AVG_CPUFREQ_KHZ;NODEMGR_DEF_FREQ_KHZ
23596396;0;1751210;rmalik; ;tnsr72764;signature; ;1780979925;1780980014;2026-06-09 06:38:45;2026-06-09 06:40:14;1780979925;1780980014;monitoring;0.000000;1;0;2400000;1;0;tcn975;2376000;1800000;2400000;89.289868;0.309418;22.156726;164.799009;3.534672;0.000000;602.011958;0.000000;439.055220;205493156084;664127074526;0.000021;96;4929730232;1650332135;0;0;0;1860180;0;0;0;0;0;43;47;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0.000000;0.000000;668.228899;0.000000;0.000000;0;0
23596447;0;1752655;rmalik; ;tnsr72764;buckets; ;1780980044;1780980045;2026-06-09 06:40:44;2026-06-09 06:40:45;1780980044;1780980045;monitoring;0.000000;1;0;2400000;1;0;tcn975;2376000;1800000;2400000;0.839037;0.458152;18.250509;68.520754;21.072126;0.000000;363.993483;0.000000;363.994673;1443238913;3150128466;0.000045;86;60712342;13882579;0;0;0;37087;0;0;0;0;0;41;45;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0
23596400;0;1753944;rmalik; ;tnsr72764;cluster; ;1780980074;1780980075;2026-06-09 06:41:14;2026-06-09 06:41:15;1780980074;1780980075;monitoring;0.000000;1;0;2400000;1;0;tcn975;2400000;1800000;2400000;0.630028;0.564376;65.037197;172.242530;21.539682;0.000000;722.205997;0.000000;328.249072;941687367;1668546955;0.000067;80;36106125;13370094;0;0;0;41733;0;0;0;0;0;40;43;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0
23596402;0;1757070;rmalik; ;tnsr72764;filter; ;1780980104;1780980118;2026-06-09 06:41:44;2026-06-09 06:41:58;1780980104;1780980118;monitoring;0.000000;1;0;2400000;1;0;tcn975;2376000;1800000;2400000;13.547586;0.338249;30.841928;190.235718;15.744592;0.000000;663.252635;0.000000;467.812267;28265001558;83562698723;0.000272;89;864104169;215060621;0;0;0;3687649;0;0;0;0;0;46;50;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0.000000;0.000000;663.354909;0.000000;0.000000;0;0
