slug,size,replicate,stage,job_id,nodename,partition,time_sec,dc_node_power_w,pck_power_w,dram_power_w,mem_gbs,io_mbs,cpu_gflops,cpu_util,cpi,avg_cpufreq_khz,l3_misses,gpu0_power_w,gpu0_gflops,n_in,n_out
mix_n1_size50000_rep1,50000,1,data_splitting,24213137,tcn640,genoa,6.67318,294.48,213.811,0,0.089315,34.2205,0.000265,60,0.347938,2376000,0,0,0,,
mix_n1_size50000_rep1,50000,1,string_normalization,24213139,tcn830,genoa,40.8722,172,142,0,0.164994,3.34916,0.000106,96,0.314749,2434796,0,0,0,,
mix_n1_size50000_rep1,50000,1,heuristic_filtering,24213141,tcn1134,genoa,294.841,283.709,219.613,0,0.203279,1.15956,0.012194,97,0.358938,2376000,0,0,0,,
mix_n1_size50000_rep1,50000,1,deduplication,24216443,tcn1185,genoa,44.7191,567.237,216.537,0,1.46791,11.1257,3.42353e-05,49.1765,0.482918,2.35341e+06,0,0,0,,
mix_n16_size50000_rep1,50000,1,data_splitting,23831828,tcn567,genoa,8.14025,4327.36,205.216,0,0.820117,152.336,0.000133219,51.5312,0.440929,2364000,0,0,0,,
mix_n16_size50000_rep1,50000,1,string_normalization,23832541,tcn1184,genoa,111.125,4164.64,207.657,0,4.89443,3.50394,3.775e-05,80.7812,0.339364,2.44318e+06,0,0,0,,
mix_n16_size50000_rep1,50000,1,heuristic_filtering,23832928,tcn609,genoa,351.444,5032.72,224.775,0,1.02417,5.69421,0.0348913,80.7188,0.374706,2.37725e+06,0,0,0,,
mix_n16_size50000_rep1,50000,1,deduplication,23833544,tcn609,genoa,84.7875,4074.46,212.308,0,1.09488,10.6201,4.26702e-05,49.9787,0.432162,2.37191e+06,0,0,0,,
mix_n32_size50000_rep1,50000,1,data_splitting,24213790,tcn1094,genoa,6.4322,4585.67,204.881,0,0.715552,68.2007,7.44688e-05,38.1562,0.497955,2376000,0,0,0,,
mix_n32_size50000_rep1,50000,1,string_normalization,24214558,tcn1091,genoa,107.812,2116.94,196.219,0,3.36152,3.74406,2.375e-05,49,0.443102,2.3142e+06,0,0,0,,
mix_n32_size50000_rep1,50000,1,heuristic_filtering,24215429,tcn1112,genoa,345.947,2403.09,213.852,0,1.4211,8.58628,0.0177689,64.0312,0.455948,2.38299e+06,0,0,0,,
mix_n32_size50000_rep1,50000,1,deduplication,24216514,tcn1185,genoa,82.435,2426.13,216.748,0,1.77179,8.59527,2.93291e-05,39.8101,0.489586,2.31667e+06,0,0,0,,
mix_toxic_size50000,50000,mix_toxic_size50000,data_splitting,23831196,tcn1178,genoa,8.02819,402.697,209.66,0,0.163864,38.75,0.000302,68.5,0.351994,2376000,0,0,0,,
mix_toxic_size50000,50000,mix_toxic_size50000,toxic_language_detection,23831198,gcn140,genoa,20.4707,2936.24,236.594,0,4.942,15.3113,0.000221,52.5,0.441569,2673000,0,66.0693,0,,
size1000_rep1,1000,1,data_splitting,23034981,tcn1061,genoa,8.89924,459.431,193.788,0,0.208488,9.11807,1.6e-05,18.3333,0.523547,2.73085e+06,0,0,0,,
size1000_rep1,1000,1,string_normalization,23034988,tcn1078,genoa,6.53918,715.861,215.52,0,1.53025,4.10063,2.1e-05,27.3333,0.404405,2376000,0,0,0,,
size1000_rep1,1000,1,heuristic_filtering,23035604,tcn742,genoa,15.4844,385.441,170.438,0,0.294453,14.0993,0.005231,60,0.389774,2423031,0,0,0,,
size1000_rep1,1000,1,deduplication,24213520,tcn1098,genoa,8.25025,1176.78,119.231,0,16.0527,9.47429,2.72353e-05,37.0588,0.553989,2.01336e+06,0,0,0,,
size1000_rep2,1000,2,data_splitting,23035003,tcn897,genoa,2.7101,1087.01,294.766,0,22.0533,21.7312,3.6e-05,44.3333,0.517729,2376000,0,0,0,,
size1000_rep2,1000,2,string_normalization,23035005,tcn742,genoa,8.02722,427.985,148.96,0,0.505631,6.73881,3.53333e-05,43,0.397138,1584000,0,0,0,,
size1000_rep2,1000,2,heuristic_filtering,23035620,tcn743,genoa,10.9383,395.649,176.369,0,0.927721,18.9348,0.007109,78,0.389529,2510583,0,0,0,,
size1000_rep2,1000,2,deduplication,24216297,tcn1009,genoa,6.34022,3465.26,236.462,0,36.6583,4.64854,1.65294e-05,19.1765,0.570938,2.64653e+06,0,0,0,,
size100000_rep1,100000,1,data_splitting,23034940,tcn1040,genoa,11.8464,695.026,224.3,0,0.3428,44.0259,0.000366333,76,0.339785,2.47819e+06,0,0,0,,
size100000_rep1,100000,1,string_normalization,23034942,tcn1061,genoa,95.5238,868.394,243.264,0,1.85624,2.90704,9.86667e-05,90,0.312182,2376000,0,0,0,,
size100000_rep1,100000,1,heuristic_filtering,23035564,tcn742,genoa,659.788,554.507,235.803,0,2.2756,0.809316,0.011506,92,0.359966,2377370,0,0,0,,
size100000_rep1,100000,1,deduplication,24213447,tcn1069,genoa,109.313,854.316,267.819,0,4.38792,6.91983,2.7e-05,33.9333,0.450102,2.57691e+06,0,0,0,,
size100000_rep2,100000,2,data_splitting,23034960,tcn1059,genoa,13.6655,798.293,209.988,0,2.78849,33.9872,0.000283667,62.6667,0.342119,2248000,0,0,0,,
