23595904;buckets;tcn729;2026-06-09 04:58:29 2026-06-09 04:58:32;1.893;110.0;7690779632;15.9;0;0.388012
23595903;buckets;tcn729;2026-06-09 04:58:30 2026-06-09 04:58:35;4.926;333.0;7664747049;6.1;0;0.390767
23595902;buckets;tcn729;2026-06-09 04:58:30 2026-06-09 04:58:32;1.975;312.0;7744365826;15.2;0;0.392523
23595901;buckets;tcn679;2026-06-09 04:58:30 2026-06-09 04:58:32;1.838;716.8;7769424919;16.3;0;0.381760
23595900;buckets;tcn671;2026-06-09 04:58:29 2026-06-09 04:58:33;3.856;711.2;7729726147;7.8;0;0.385477
23595899;buckets;tcn669;2026-06-09 04:58:29 2026-06-09 04:58:33;3.753;303.8;7711462986;8.0;0;0.384327
23595898;buckets;tcn667;2026-06-09 04:58:30 2026-06-09 04:58:36;4.854;406.4;7733834713;6.2;0;0.398758
23595897;buckets;tcn667;2026-06-09 04:58:31 2026-06-09 04:58:34;3.154;270.0;7830942615;9.5;0;0.381147
23595893;buckets;tcn733;2026-06-09 04:56:30 2026-06-09 04:56:35;4.518;318.0;7743945394;6.7;0;0.384331
23595892;buckets;tcn733;2026-06-09 04:56:30 2026-06-09 04:56:34;3.950;109.0;7652311528;7.6;0;0.390121
23595891;buckets;tcn729;2026-06-09 04:56:31 2026-06-09 04:56:36;4.093;78.0;7787396389;7.3;0;0.389323
23595890;buckets;tcn729;2026-06-09 04:56:31 2026-06-09 04:56:35;2.541;0.0;7689498060;11.8;0;0.390701
23595889;buckets;tcn729;2026-06-09 04:56:32 2026-06-09 04:56:36;3.530;166.0;7708404504;8.5;0;0.389026
23595888;buckets;tcn729;2026-06-09 04:56:31 2026-06-09 04:56:36;3.601;110.0;7741623412;8.3;0;0.386460
23595887;buckets;tcn729;2026-06-09 04:56:32 2026-06-09 04:56:35;2.580;0.0;7701127160;11.7;0;0.385467
23595886;buckets;tcn729;2026-06-09 04:56:32 2026-06-09 04:56:35;2.514;0.0;7754229166;12.0;0;0.385465
23595885;buckets;tcn729;2026-06-09 04:56:31 2026-06-09 04:56:35;3.141;37.0;7718070193;9.6;0;0.390465
23595884;buckets;tcn729;2026-06-09 04:56:32 2026-06-09 04:56:37;4.677;330.0;7871902254;6.4;0;0.399157
23595883;buckets;tcn679;2026-06-09 04:56:29 2026-06-09 04:56:34;4.858;453.6;7743841692;6.2;0;0.385853
