slug,size,replicate,stage,job_id,nodename,partition,time_sec,dc_node_power_w,pck_power_w,dram_power_w,mem_gbs,io_mbs,cpu_gflops,cpu_util,cpi,avg_cpufreq_khz,l3_misses,gpu0_power_w,gpu0_gflops,n_in,n_out
amst_size400000_rep1,400000,1,data_splitting,23594649,tcn761,genoa,29.7208,296.586,219.224,0,1.04553,49.9426,0.000467,89,0.329431,2376000,0,0,0,,
amst_size400000_rep1,400000,1,string_normalization,23594651,tcn1005,genoa,318.552,306.205,233.007,0,0.217249,2.93606,0.000107,97,0.312625,2376000,0,0,0,,
amst_size400000_rep1,400000,1,heuristic_filtering,23594653,tcn1187,genoa,2375.59,303.111,225.529,0,0.193351,0.617876,0.012014,97,0.360412,2376000,0,0,0,,
amst_size400000_rep2,400000,2,data_splitting,23594663,tcn841,genoa,31.9218,299.785,218.239,0,0.222799,46.4991,0.000433,84,0.332747,2376000,0,0,0,,
amst_size400000_rep2,400000,2,string_normalization,23594679,tcn1007,genoa,323.091,305.007,224.476,0,0.133828,2.89485,0.000105,95,0.310459,2376000,0,0,0,,
amst_size400000_rep2,400000,2,heuristic_filtering,23594681,tcn940,genoa,2386.46,278.999,220.091,0,0.199961,0.615069,0.011953,97,0.362562,2376000,0,0,0,,
euparlsh_size100_rep1,100,1,data_splitting,23595447,tcn602,genoa,4.32412,360.941,216.53,0,0.626965,233.014,1.1e-05,27,0.573752,2376000,0,0,0,,
euparlsh_size100_rep1,100,1,string_normalization,23595449,tcn669,genoa,15.9425,457.242,352.209,0,32.0802,3.68723,4e-06,76,0.266087,2376000,0,0,0,,
euparlsh_size100_rep1,100,1,heuristic_filtering,23595451,tcn724,genoa,67.4497,494.369,390.609,0,187.872,3.20402,0.011724,91,0.314187,2376000,0,0,0,,
euparlsh_size100_rep2,100,2,data_splitting,23595474,tcn602,genoa,2.50607,204,129,0,1.44905,402.052,1.8e-05,47,0.579287,2977207,0,0,0,,
euparlsh_size100_rep2,100,2,string_normalization,23595476,tcn671,genoa,15.8695,641.169,485.043,0,409.228,3.7042,5e-06,75,0.262843,2376000,0,0,0,,
euparlsh_size100_rep2,100,2,heuristic_filtering,23595478,tcn729,genoa,64.9722,547.544,395.87,0,258.695,3.32618,0.011805,93,0.312898,2376000,0,0,0,,
euparl_size100_rep1,100,1,data_splitting,23594766,tcn761,genoa,4.67213,482.373,179.372,0,0,229.016,1e-05,27,0.577816,2376000,0,0,0,,
euparl_size100_rep1,100,1,string_normalization,23594786,tcn1046,genoa,18.2827,486.394,215.445,0,0.179494,3.63096,4.5e-06,74,0.264825,2376000,0,0,0,,
euparl_size100_rep1,100,1,heuristic_filtering,23594788,tcn1040,genoa,68.8082,543.911,221.478,0,0.0587515,3.25071,0.012155,91,0.312767,2376000,0,0,0,,
